2025-06-01 15:41:14 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 192.168.0.4:50000
2025-06-01 15:41:23 [virtual-37] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-01 15:41:23 [virtual-37] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-01 15:41:27 [virtual-42] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-01 15:41:27 [virtual-42] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-01 15:41:30 [virtual-43] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-01 15:41:30 [virtual-43] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-02 14:49:07 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 192.168.0.4:50000
2025-06-02 14:49:24 [virtual-37] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-02 14:49:24 [virtual-37] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-02 14:49:30 [virtual-42] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-02 14:49:31 [virtual-42] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-02 14:49:35 [virtual-43] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-02 14:49:35 [virtual-43] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-02 14:57:57 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 192.168.0.4:50000
2025-06-05 15:33:27 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.215.36.129:50000
2025-06-05 15:34:09 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-05 15:34:09 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-05 15:34:25 [virtual-31] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-05 15:34:25 [virtual-31] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
